Sub-workflow,Module,Software,Functionality,Docker image,References
PREPROCESS_DEFAULT,FASTQC,FastQC (v0.11.9) [1],Perform fastq sequence quality assessment with FastQC.,hukai916/fastqc_0.11.9:0.1,"[1] Andrews, S. (2010). FastQC:  A Quality Control Tool for High Throughput Sequence Data [Online]. Available online at: http://www.bioinformatics.babraham.ac.uk/projects/fastqc/"
,SPLIT_FASTQ,bash,"Split FASTQ files into smaller chunks for each sample so that more parallel jobs can be spawned, and therefore faster.",hukai916/sinto_xenial:0.2,
,MATCH_CHUNK,bash,Ensure sample chunks match with sample names for downstream steps.,hukai916/sinto_xenial:0.2,
,ADD_BARCODE_TO_READ_CHUNKS,sinto (v0.7.5) [2],Add barcode to the front of each name line in the FASTQ chunk file. ,hukai916/sinto_xenial:0.2,
,ADD_BARCODE_TO_READS,sinto (v0.7.5) [2],Add barcode to the front of each name line in the FASTQ file. ,hukai916/sinto_xenial:0.2,[2] https://timoast.github.io/sinto/
,CUTADAPT,cutadapt (v3.4) [5],Trim off adapter sequences with Cutadapt.,hukai916/cutadapt_xenial:0.1,"[5] Martin, M. (2011). Cutadapt removes adapter sequences from high-throughput sequencing reads. EMBnet.Journal, 17(1), 10. https://doi.org/10.14806/ej.17.1.200"
,DOWNLOAD_FROM_UCSC,"wget, custom Python script",Download genome fasta file from UCSC website.,hukai916/miniconda3_xenial:0.1,
,DOWNLOAD_FROM_ENSEMBL,"wget, custom Python script",Download genome fasta file from ENSEMBL website.,hukai916/miniconda3_xenial:0.1,
,PREP_GENOME,SAMtools (v1.11) [7] and bash,"Cleanup genome file by extracting the primary genome and prepending ""chr"" to each contig.",hukai916/bwa_xenial:0.1,"[7] Li, H., Handsaker, B., Wysoker, A., Fennell, T., Ruan, J., Homer, N., Marth, G., Abecasis, G., & Durbin, R. (2009). The Sequence Alignment/Map format and SAMtools. Bioinformatics, 25(16), 2078–2079. https://doi.org/10.1093/bioinformatics/btp352"
,BWA_INDEX,bwa (v0.7.17) [6],Index genome file with BWA.,hukai916/bwa_xenial:0.1,"[6] Li, H., & Durbin, R. (2009). Fast and accurate short read alignment with Burrows-Wheeler transform. Bioinformatics, 25(14), 1754–1760. https://doi.org/10.1093/bioinformatics/btp324"
